Arabic,English,Hebrew,Russian,French
يبدو,It seems,נראה ש,Кажется,Il semble
جيد,good,טוב,хороший,bien
تكون,Formation,היווצרות,Формация,Formation
علي,on,על,на,sur
اليوم,today,היום,сегодня,aujourd'hui
يمكنك,You could,אתה יכול,Вы могли бы,Vous pourriez
انها,that it,היא,это,que
أليس,Alice,אליס,Алиса,Alice
مرحباً,Welcome,שלום,Добро пожаловать,Accueillir
لدي,I have,יש לי,У меня есть,J'ai
عليه,on him,עליו,на него,sur lui
آخر,last,אחר,последний,dernier
لست,Prejudice,דעה קדומה,Предрассудки,Préjudice
منذ,since,מאז,с,depuis
غير,not,לֹא,нет,pas
أيها,O you,אתה,о вы,O vous
لديك,You have,יש לך,У вас есть,Tu as
حقاً,truly,בֶּאֱמֶת,действительно,vraiment
أنتِ,You,אתה,Ты,Toi
تريد,You want,תרצה,Вы хотите,Tu veux
أستطيع,I can,אני יכול,Я могу,Je peux
الرجل,the man,האיש,тот человек,l'homme
تعرف,to get to know,להכיר,чтобы узнать,apprendre à connaître
له,for him,לו,для него,pour lui
مرة,Once,פַּעַם,Один раз,Une fois
لدينا,we've got,יש לנו,мы получили,nous avons
أنها,that it,היא,это,que
يمكنني,I can,אני יכול,Я могу,Je peux
بأن,That,זֶה,Что,Ce
واحد,One,אחד,Один,Un
أنني,I am,אני,Я,Je suis
أوه,Oh,אה,Ой,Oh
سيكون,Will be,יהיה,Будет,Sera
الناس,the people,האנשים,люди,les gens
ليست,Not,לֹא,Нет,Pas
حدث,It happened,קרה,Это произошло,C'est arrivé
بها,In,ב,В,Dans
أيضاً,also,גַם,также,aussi
أفضل,better,יותר טוב,лучше,mieux
الكثير,a lot,הרבה,много,beaucoup
علينا,We,אָנוּ,Мы,Nous
سيدي,my lord,אדוני,мой господин,mon Seigneur
مكان,place,מקום,место,lieu
تفعل,are doing,עושים,делаем,faites
وقت,time,זְמַן,время,temps
يكن,Be,לִהיוֹת,Быть,Être
ط,I,אני,я,je
شئ,a thing,דבר,вещь,une chose
بهذا,by this,לפי זה,этим,par ça
وأنا,Me,לִי,Мне,Moi
اذا,if,אם,если,si
جدا,very,מאוד,очень,très
بي,with me,איתי,со мной,avec moi
أخرى,Others,אחרת,Другие,Autres
آسف,Sorry,מצטער,Извини,Désolé
بك,Infection,בך,Инфекционное заболевание,Infection
رائع,amazing,נהדר,удивительный,incroyable
بذلك,That,זֶה,Что,Ce
كم,how much,כמה,сколько?,combien
إذاً,if,אם,если,si
ثم,then,אז,затем,Puis
شيئاً,Something,משהו,Что-нибудь,Quelque chose
يوجد,There is,יש,Есть,Il y a
واحدة,one,אחד,один,un
ولا,no,ולא,нет,Non
قلت,I said,אמרת,Я сказал,J'ai dit
يحدث,It is happening,זה קורה,Это происходит,Ça se passe
بالطبع,naturally,בהחלט,естественно,naturellement
شكرا,Thanks,תודה,Спасибо,Merci
مرحبا,Welcome,שלום,Добро пожаловать,Accueillir
يوم,day,יום,день,jour
أبي,my dad,אבא שלי,мой папа,mon pére
معك,with you,עמך,с тобой,avec toi
لها,she has,יש לה,у нее есть,elle a
معي,with me,עמי,со мной,avec moi
سيد,sir,אדון,сэр,Monsieur
تعلم,to learn,למד,учить,apprendre
إذن,permission,רְשׁוּת,разрешение,autorisation
العمل,the job,העבודה,работа,le travail
تم,It was completed,זה הושלם,Он был завершен,Il a été achevé
المكان,Place,מקום,Место,Lieu
الليلة,Tonight,היום בלילה,Сегодня вечером,Ce soir
إلهي,divine,אלוהי,божественный,divin
لهذا,For this,לזה,Для этого,Pour ça
فعل,an act,מעשה,Акт,un acte
هكذا,thus,לכן,таким образом,ainsi
أمي,My mom,אמי,Моя мама,Ma mère
لذلك,So,לכן,Так,Donc
ألا,unless,אֶלָא אִם,пока не,sauf si
لـ,For,ל,Для,Pour
الان,now,עכשיו,сейчас,maintenant
حول,around,סְבִיב,вокруг,autour
بما,With,עם,С,Avec
حقا,truly,בֶּאֱמֶת,действительно,vraiment
الحقيقة,the truth,האמת,правда,la vérité
الجميع,everyone,כל אחד,каждый,tout le monde
يمكننا,We can,אנחנו יכולים,Мы можем,Nous pouvons
بالتأكيد,certainly,בְּהֶחלֵט,конечно,certainement
لأن,because,כי,потому что,car
لديه,he have,יש לו,у него есть,il a
لنا,for us,לנו,для нас,pour nous
خلال,during,בְּמַהֲלָך,в течение,pendant
ظ,P,עמ ',п,P
بشكل,In a way,בדרך,В некотором смысле,Dans un sens
العالم,the world,העולם,мир,le monde
فحسب,Just,רַק,Только,Juste
حال,State,מדינה,Состояние,État
الذهاب,going,הולך,идущий,en allant
عليها,on her,עליה,На ней,sur elle
بـ,In,ב,В,Dans
أعني,I mean,אני מתכוון,Я имею в виду,Je veux dire
فعلت,I did,אני עשיתי,Я сделал,Je l'ai fait
قال,He said,אמר,Он сказал,Il a dit
هم,they,הֵם,они,ils
المنزل,the home,הבית,дом,la maison
عنه,about him,עליו,о нем,à propos de lui
ها,Ha,ה,Ха,Ha
بشأن,about,על אודות,о,à propos
أفعل,I do,עידו,Я делаю,Je fais
أكون,I be,אני,Я буду,Je suis
اللعنة,the curse,הקללה,Проклятье,la malédiction
للغاية,Extremely,מְאוֹד,Очень сильно,Extrêmement
فيه,in it,בּוֹ,в этом,dans
بين,between,בין,между,entre
أننا,We are,אנחנו,Мы,Nous sommes
منك,From you,אתה,От тебя,De toi
وهذا,and this is,וזה,а это,et c'est
لكِ,for you,בשבילך,для тебя,pour toi
جيدة,Good,טוֹב,Хороший,Bien
يعني,Means,אומר,Означает,Moyens
مجرد,merely,רק,просто,simplement
أظن,I suspect,אני חושב,Я подозреваю,Je soupçonne
انك,You are,אתה,Ты,Tu es
مني,Mona,מונה,Мона,Mona
أنّ,that,זֶה,что,ce
بالنسبة,with regards,בברכה,С уважением,cordialement
الأمور,Matters,עניינים,Имеет значение,Questions
فكرة,an idea,רעיון,идея,une idée
أم,Mother,אמא,Мать,Une mere
متى,when,מתי,когда,quand
الشيء,Thing,דָבָר,Вещь,Chose
المال,the money,כסף,деньги,l'argent
كنا,We were,היינו,Мы были,Nous étions
أقول,I say,אני אומר,Я говорю,je dis
عمل,a job,עבודה,работа,un travail
أبداً,never,לעולם,никогда,jamais
ستكون,it will be,זה יהיה,это будет,ce sera
عليّ,on,על,на,sur
أيّ,any,איזה,любой,n'importe quel
أمر,Command,פקודה,Командование,Commande
تقول,Says,אומר,Говорит,Dit
توقف,to stop,לעצור,остановиться,arrêter
هؤلاء,these,אלה,эти,ces
السيد,Mr.,האדון,Мистер.,M.
انظر,Look,תראה,Смотреть,Regarder
لما,when,כאשר,когда,quand
منه,from him,ממנו,от него,de lui
الطريق,The Road,הדרך,Дорога,La route
أشعر,I feel,אני מרגיש,я чувствую,Je me sens
حصلت,I got,יש לי,я получил,j'ai eu
الحياة,life,חַיִים,жизнь,vie
أني,that I,שאני,что я,que je
نفس,same,נפש,такой же,même
معه,With,עם,С,Avec
بحاجة,Need,צוֹרֶך,Нуждаться,Besoin
بسبب,because of,בגלל,из-за,à cause de
الذين,Whose,של מי,Чей,Dont
تستطيع,Could you,האם אתה יכול,Не могли бы вы,Pourrais-tu
بأس,Wicked,רָשָׁע,Злой,Méchant
اي,any,איזה,любой,n'importe quel
بدون,without,לְלֹא,без,sans
لكم,to you,לך,тебе,pour vous
تبدو,Appear,לְהוֹפִיעַ,Появляться,Apparaître
أرى,Show,הופעה,Показывать,Montrer
الجحيم,Hell,גֵיהִנוֹם,Ад,Enfer
تكن,Being,להיות,Существование,Être
اعتقد,I believe,אני מאמין,Я считаю,Je crois
عند,when,אצל,когда,quand
آسفة,sorry,מצטער,извини,Désolé
حيث,where,איפה,где,où
دائماً,always,תמיד,всегда,toujours
وأنت,And you,ואתה,А ты,Et toi
تحت,under,תַחַת,под,sous
حسنًا,Good,בסדר,Хороший,Bien
تعال,Come here,בוא,Идите сюда,Venez ici
بالفعل,actually,למעשה,на самом деле,en fait
بل,but rather,אלא,скорее,mais plutôt
فضلك,Please,אנא,Пожалуйста,S'il te plaît
الأشياء,The things,הדברים,Вещи,Les choses
ليلة,a night,לילה,ночь,une nuit
نفسك,yourself,עַצמְךָ,сам,toi-même
لكي,in order to,כדי,"для того, чтобы",pour
تعتقد,U think,אתה חושב,ты думаешь,tu penses
وهو,and he,והוא,и он,et il
بحق,Right,ימין,Верно,Droite
مشكلة,problem,בעיה,проблема,problème
شيئا,Something,משהו,Что-нибудь,Quelque chose
أرجوك,Please,אנא,Пожалуйста,S'il te plaît
أذهب,Go,לך,Идти,Aller
يريد,Wants,רוצה,Хочет,Veut
تماماً,completely,בדיוק,полностью,complètement
الـ,The,ה,А,Le
الوحيد,the only,היחיד,единственный,le seul
قتل,killing,הֶרֶג,убийство,meurtre
إنهم,that they,שהם,что они,qu'ils
الشخص,the person,האדם,персона,la personne
رأيت,I saw,ראית,Я видел,J'ai vu
عزيزتي,My dear,יקרה שלי,Мой дорогой,Mon cher
طوال,throughout,בְּמֶשֶך,через,tout au long de
بهذه,With this,עם זה,С этим,Avec ça
الشرطة,the police,המשטרה,полиция,la police
الأن,now,עכשיו,сейчас,maintenant
أحب,I love,אוהב,Я люблю,J'aime
الذى,that,זֶה,что,ce
أيضا,also,גַם,также,aussi
بنا,coffee beans,פולי קפה,кофейные зерна,grains de café
أردت,I wanted,אני רוצה,я хотел,j'ai voulu
أكن,Be,לִהיוֹת,Быть,Être
كلّ,all,כל,все,Chaque
النار,fire,אֵשׁ,огонь,feu
سمعت,I heard,שמעתי,Я слышал,J'ai entendu
اجل,Okay,בסדר,Хорошо,D'accord
جميع,all,כל,все,tous
أَنْ,that,זֶה,что,ce
قليلاً,a little,קצת,немного,un peu
مالذي,Cosmopolitical,קוסמופוליטי,Космополитический,Cosmopolitique
بأنه,As,כפי ש,Как,Comme
والآن,And now,ועכשיו,И сейчас,Et maintenant
إلي,to,ל,к,pour
انتظر,I am waiting,אני מחכה,я жду,j'attends
فتاة,girl,בחורה,девочка,fille
كبير,big,גדול,большой,grand
يعرف,Known,ידוע,Известен,Connu
او,or,או,или,ou
فيها,In which,באיזה,В котором,Dans lequel
حسنٌ,Hassan,חסן,Хасан,Hassan
الرجال,Men,גברים,Люди,Hommes
اريد,I want,אני רוצה,Я хочу,Je veux
لأنه,Because he,בגלל שהוא,Потому что он,Parce qu'il
السبب,the reason,הסיבה,причина,la raison
سنوات,Years,שנים,Годы,Années
الباب,The Door,הדלת,Дверь,La porte
نذهب,We go,אנחנו הולכים,Мы идем,Nous allons
دون,Without,לְלֹא,Без,Sans
حياتي,my life,החיים שלי,моя жизнь,ma vie
لابد,It must,זה חייב,Это должно,Il doit
السيارة,The Car,המכונית,Машина,La voiture
تريدين,You want,אתה רוצה,Вы хотите,Tu veux
خارج,Outside,בחוץ,Снаружи,Dehors
ومن,And from,ומ,И из,Et de
ثلاثة,three,שלושה,три,trois
فعله,To do,לעשות,Делать,Faire
تذهب,Go,ללכת,Идти,Aller
كانوا,they were,הם היו,они были,ils étaient
اذهب,Go,לך,Идти,Aller
الحصول,Get,לקבל,Получать,Obtenir
يقول,He says,אומר,Он говорит,Il dit
الواقع,reality,מְצִיאוּת,реальность,réalité
كثيراً,a lot,הרבה,много,beaucoup
اعرف,I know,אני יודע,Я знаю,Je sais
أنهم,that they,שהם,что они,qu'ils
سبب,a reason,סיבה,причина,un motif
كبيرة,big,גדולה,большой,grand
مما,Than,מאשר,Чем,Que
أحتاج,I need,אני צריך,мне нужно,J'ai besoin
قمت,I did,אני עשיתי,Я сделал,Je l'ai fait
إنّه,that it,שזה,это,que
منها,Of which,ממנה,Из которых,Dont
كنتُ,I was,הייתי,Я был,J'étais
للتو,just yet,עדיין,только пока,à l'instant
استطيع,I can,אני יכול,Я могу,Je peux
نوع,Type,סוּג,Тип,Taper
هنالك,there,שם,там,là
تعرفين,You know,אתה יודע,Ты знаешь,Tu sais
جميلة,beautiful,יפה,красивый,Belle
بكل,With all,עם כל,Со всем,Avec tout
دولار,dollar,דולר,доллар,dollar
بأنك,You are,אתה,Ты,Tu es
لأنني,because I,כי אני,потому что я,parce que je
الأفضل,The best,הכי טוב,Лучшее,Le meilleur
دائما,always,תמיד,всегда,toujours
جديد,new,חדש,новый,nouveau
الامر,Matter,חוֹמֶר,Иметь значение,Matière
اين,where,איפה,где,où
بالضبط,exactly,בדיוק,точно,exactement
جون,John,ג'ון,Джон,John
دعنا,Let's,בואו,Давайте,Faisons
أنظر,Look,תראה,Смотреть,Regarder
المدينة,City,עִיר,Город,Ville
الخاص,private,פְּרָטִי,частный,privé
تعلمين,Learn,לִלמוֹד,Учиться,Apprendre
جميل,Beautiful,יפה,Красивый,Beau
بسرعة,quickly,במהירות,быстро,rapidement
الأرض,the earth,רצפה,Земля,La terre
لحظة,Moment,רֶגַע,Мгновенный,Moment
الطريقة,Method,שיטה,Метод,Méthode
طريقة,road,כְּבִישׁ,дорога,route
رائعة,amazing,מדהים,удивительный,incroyable
سعيد,happy,שמח,счастливый,content
دقيقة,minute,דַקָה,минута,minute
لكنه,But he,אבל הוא,Но он,Mais il
غرفة,room,חדר,комната,chambre
إليه,mechanism,מַנגָנוֹן,механизм,mécanisme
التحدث,Talk,דבר,Разговаривать,Parler
ثانية,second,שניה,второй,deuxième
دعني,Leave me,עזוב אותי,Оставь меня,Laisse-moi
لكنني,But I am,אבל אני,Но я,Mais je suis
الفتاة,the girl,הילדה,девушка,la fille
لمَ,did not,לא,не,n'a pas
ولم,And not,ולא,И не,Et pas
أنتم,you all,אתם,вы все,vous tous
عظيم,great,עצום,большой,super
انهم,that they,שהם,что они,qu'ils
اوه,Oh,אה,Ой,Oh
جيداً,well,נו,хорошо,Bien
لديّ,I have,יש לי,У меня есть,J'ai
بينما,while,בעוד ש,пока,alors que
نفسي,myself,עצמי,сам,moi-même
إليك,To you,לך,Тебе,à toi
قام,Stand up,תעמוד,Вставать,Se lever
لديها,she has,יש לה,у нее есть,elle a
عام,general,כללי,общий,général
اعلم,Know,לָדַעַת,Знать,Savoir
يعمل,He works,הוא עובד,Он работает,Il travaille
سأكون,I will be,אני אהיה,я буду,Je serai
عيد,holiday,חג,праздничный день,vacances
رفاق,comrades,חברים,товарищи,camarades
ألم,pain,כְּאֵב,боль,douleur
لهم,for them,להם,для них,pour eux
تعمل,Working,עובד,Работающий,Fonctionnement
تتحدث,Spoke,דיבר,Говорил,Parlait
القيام,The performance,הביצוע,Представление,La performance
الله,God,אלוהים,Бог,Dieu
ساعة,hour,שעה,час,heure
المرة,Bitter,טעם מר,Горький,Amer
هيّا,Let's go,בוא נלך,Пойдем,Allons-y
ترى,See,לִרְאוֹת,Видеть,Voir
مهلاً,Hey,היי,Привет,Hé
جاك,Jack,ג'ֵק,Джек,Jack
أنتَ,You,אתה,Ты,Toi
الخير,The good,הטוב,Добро,Le bon
متأكد,sure,בטוח,конечно,bien sûr
جميعاً,All,את כל,Все,Tous
أحاول,I'm trying,אני מנסה,Я пытаюсь,J'essaie
شيئ,something,דבר,что-нибудь,quelque chose
الموت,death,המוות,смерть,décès
رقم,number,מספר,число,nombre
منهم,who are they,מי הם,кто они,Qui sont-ils
سيارة,car,אוטו,машина,voiture
مجدداً,again,שוב,снова,encore
ايها,O you,אתה,о вы,O vous
عنك,About you,עליך,О вас,Au propos de vous
يفعل,Do,לַעֲשׂוֹת,Делать,Faire
فقد,Lost,אָבֵד,Потерянный,Perdu
ذهبت,I went,הלכתי,я пошел,Je suis allé
المزيد,More,יותר,Более,Plus
أتمنى,I hope,אני מקווה,Я надеюсь,J'espère
مات,He died,מת,Он умер,Il est mort
يتم,Complete,לְהַשְׁלִים,Полный,Complet
لكني,But I am,אבל אני,Но я,Mais je suis
طريق,road,דרך,дорога,route
وجدت,Found,מצאתי,Найденный,Trouvé
وقد,To,ל,К,Pour
أول,first,ראשון,первый,d'abord
معها,with her,איתה,с ней,avec elle
سعيدة,happy,שַׂמֵחַ,счастливый,content
لدى,I have,יש לי,У меня есть,J'ai
أقصد,I mean,אני מתכוון,Я имею в виду,Je veux dire
إلا,unless,אֶלָא אִם,пока не,sauf si
صباح,morning,בוקר,утро,matin
الرئيس,President,נָשִׂיא,Президент,Président
احد,One,אחד,Один,Un
فرصة,an opportunity,הזדמנות,возможность,une opportunité
الأولى,First,ראשון,Первый,D'abord
تباً,Damn,לעזאזל,Проклятие,Condamner
يرام,Dignity,כָּבוֹד,Достоинство,Dignité
عليكِ,upon you,עליך,на вас,sur vous
يكفي,It is enough,מספיק,Достаточно,C'est assez
علاقة,relationship,קשר,отношение,relation
صغيرة,Small,קטנה,Маленький,Petit
الأقل,the least,הכי פחות,в мере,le moins
لأنك,because you are,בגלל שאתה,потому что вы,parce que vous êtes
غريب,strange,זר,странный,étrange
لنذهب,Let's go,בוא נלך,Пойдем,Allons-y
المدرسة,the school,בית הספר,школа,l'école
ــ,-,-,-,-
الصباح,the morning,הבוקר,утро,le matin
أفهم,I understand,אני מבין,Я понимаю,Je comprends
حين,when,מתי,когда,quand
صديقي,my friend,חבר שלי,мой друг,mon ami
سأذهب,I will go,אני אלך,я пойду,J'irai
أنكِ,You are,אתה,Ты,Tu es
تأتي,Come,לבוא,Приходить,Venir
الخاصة,Special,מיוחד,Особенный,Spécial
أخبرني,Tell me,תגיד לי,Скажи мне,Dis-moi
تقوم,get up,קום,вставать,se lever
نستطيع,We can,אנחנו יכולים,Мы можем,Nous pouvons
نفسه,Himself,עַצמוֹ,Сам,Lui-même
التى,that,אשר,что,ce
الأطفال,children,יְלָדִים,дети,enfants
حالة,condition,מצב,состояние,condition
لى,for me,לי,для меня,pour moi
هى,she,היא,она,elle
يستطيع,Can,פחית,Может,Peut
يجري,Being,להיות,Существование,Être
سنة,year,שנה,год,Une annee
نفعل,Do,לַעֲשׂוֹת,Делать,Faire
أتعلم,you know what,אתה יודע מה,знаешь что,vous savez quoi
نهاية,end,סוף,конец,fin
أفكر,think,לַחשׁוֹב,думать,penser
أود,Preach,לְהַטִיף,Проповедовать,Prêcher
عشر,ten,עשר,десять,dix
شىء,something,דבר,что-нибудь,quelque chose
أقوم,I do,עידו,Я делаю,Je fais
الحب,love,האהבה,любовь,aimer
أنّه,that it,שזה,это,que
كنتِ,I was,הייתי,Я был,J'étais
معاً,together,יַחַד,вместе,ensemble
أى,any,איזה,любой,n'importe quel
انني,I am,אני,Я,Je suis
لديهم,They have,יש להם,У них есть,Ils ont
جديدة,New,חָדָשׁ,Новый,Nouveau
يعلم,Know,לָדַעַת,Знать,Savoir
قالت,She said,היא אמרה,Она сказала,Dit-elle
بدأت,Start,הַתחָלָה,Начинать,Commencer
الأول,the first,הראשון,первый,la première
دقائق,minutes,דקות,минуты,minutes
عني,About Me,עליי,Обо мне,Sur moi
سيدة,Mrs.,גברת,Миссис.,Mme.
حالك,You are,אתה,Ты,Tu es
إنني,I am,אני,Я,Je suis
عزيزي,my dear,יקרה שלי,мой дорогой,Mon cher
رجال,men,אנשים,Мужчины,Hommes
نعرف,We know,אנחנו יודעים,Мы знаем,Nous savons
الجنس,Sex,מִין,Секс,Sexe
؛,;,;,;,;
رؤية,Vision,חָזוֹן,Зрение,Vision
ينبغي,Should,צריך,Должен,Devrait
الي,to,ל,к,pour
حصل,happened,קרה,случилось,obtenu
معنا,With us,איתנו,С нами,Avec nous
الطفل,Child,יֶלֶד,Ребенок,Enfant
وليس,Not,לֹא,Нет,Pas
كي,in order to,כדי,"для того, чтобы",pour
تحتاج,need,צוֹרֶך,нуждаться,besoin
قليلا,a little,קצת,немного,un peu
حياة,life,חיים,жизнь,vie
اسمع,Listen,להקשיב,Слушать,Écouter
الساعة,the hour,השעה,час,heure
أكبر,Larger,יותר גדול,Более крупный,Plus grand
اليس,Elice,אליס,Элит,Elice
فهمت,Understood,מובן,Понял,Compris
عنها,about her,לגביה,о ней,à son sujet
أريدك,I want you,אני רוצה אותך,Я хочу тебя,Je te veux
رجاءً,please,אנא,пожалуйста,s'il te plaît
تفعله,Do it,תעשה את זה,Сделай это,Fais-le
وماذا,and what,ומה,и что,et quoi
ظننت,I thought,חשבתי,я думал,Je pensais
سيدتي,my lady,גבירתי,Моя леди,ma dame
البعض,Some,כמה,Некоторый,Quelques
الصغير,Little,קטן,Маленький,Petit
تعني,Means,אומר,Означает,Moyens
إنّها,that it,היא,это,que
البيت,the house,הבית,дом,la maison
رأيك,Your opinion,דעתך,Ваше мнение,Votre opinion
تكوني,You are,אתה,Ты,Tu es
هُنا,here,כאן,здесь,ici
والدك,Your father,האבא שלך,Твой отец,Ton père
مهما,Whatever,מה שתגיד,Что бы ни,Peu importe
العودة,Return,לַחֲזוֹר,Возвращаться,Retour
تماما,completely,בדיוק,полностью,complètement
لطيف,Nice,נֶחְמָד,Хороший,Bon
يقوم,get up,קום,вставать,se lever
السجن,the prison,הכלא,тюрьма,la prison
الليل,the night,הלילה,ночь,la nuit
السيدة,Mrs.,הגברת,Миссис.,Mme.
أخي,my brother,אחי,мой брат,mon frère
بأنني,That I am,שאני,Что я,Que je suis
طويلة,long,ארוך,длинный,long
والدي,my father,אבא שלי,мой отец,Mon père
وهي,Which,איזה,Который,Qui
حان,Come,לבוא,Приходить,Venir
أقل,less,פָּחוֹת,меньше,moins
الهاتف,the phone,הטלפון,телефон,le téléphone
عبر,via,באמצעות,с помощью,via
مهلا,Tolerate,לִסְבּוֹל,Терпеть,Tolérer
ترجمة,translation,תרגום,перевод,Traduire
نحتاج,We need,אנחנו צריכים,Нам нужно,Nous avons besoin
أيتها,Oh,אה,Ой,Oh
وما,gesticulate,מחיה,жестикулят,gesticuler
اكثر,more,יותר,более,plus
أتحدث,I speak,אני מדבר,я говорю,je parle
أيام,days,ימים,дни,jours
أحدهم,One of them,אחד מהם,Один из них,L'un d'eux
أولاً,Firstly,קוֹדֶם כֹּל,Во-первых,d'abord
الماضي,the past,העבר,прошлое,le passé
أحبك,I love you,אני אוהב אותך,Я тебя люблю,Je t'aime
الطعام,the food,האוכל,еда,la nourriture
البقاء,Survival,הישרדות,Выживание,Survie
معرفة,knowledge,ידע,знание,connaissance
العام,Year,שָׁנָה,Год,Année
أية,any,פסוק בקוראן,любой,n'importe quel
ل,to,ל,к,pour
أصبح,had become,הפך להיות,стал,devenu
ذات,In the same,באותו,В то же самое,Dans le même
الجديد,the new,החדש,новый,le nouveau
مِنْ,from,מ,от,depuis
لكنك,but you are,אבל אתה,но ты,mais vous êtes
أبدا,never,לעולם,никогда,jamais
وضع,situation,מצב,ситуация,situation
ً,A,א,А,UN
سيئة,Bad,רַע,Плохой,Mauvais
طفل,child,יֶלֶד,ребенок,enfant
فوق,above,מֵעַל,выше,au-dessus de
حياتك,Life,חַיִים,Жизнь,Vie
داخل,inside,בְּתוֹך,внутри,à l'intérieur
وكان,Be,לִהיוֹת,Быть,Être
نكون,We are,אנחנו,Мы,Nous sommes
خطأ,mistake,טעות,ошибка,erreur
سام,Sam,סם,Сэм,Sam
ونحن,We are,אנחנו,Мы,Nous sommes
منزل,a house,בית,дом,une maison
تشعر,feel,להרגיש,чувствовать,se sentir
عليهم,on them,עליהם,на них,sur eux
المفترض,Supposed,אמור,Предполагаемый,supposé
نتحدث,we are talking,נשוחח,мы разговариваем,nous parlons
طويل,long,ארוך,длинный,long
نصف,half,חצי,половина,moitié
فريق,a team,קבוצה,команда,une équipe
أخذ,Taking,לקח,Принимающий,Prise
الماء,water,מים,вода,eau
لاحقاً,Later,יותר מאוחר,Позже,Plus tard
حق,right,ימין,верно,droite
يأتي,Come,לבוא,Приходить,Venir
صديق,friend,חבר,друг,ami
غداً,tomorrow,מָחָר,завтра,demain
سأفعل,I will do,אני אעשה,я сделаю,je ferai
منا,from U.S,מאיתנו,от нас,de notre part
الصغيرة,Small,קָטָן,Маленький,Petit
نريد,We want,אנחנו רוצים,Мы хотим,Nous voulons
وانا,Me,לִי,Мне,Moi
للمنزل,For home,לבית,Для дома,Pour la maison
ايضا,also,גַם,также,aussi
آه,Yes,כן,Да,Oui
خذ,Take,לקחת,Брать,Prendre
جزء,part,חלק,часть,partie
لكنها,but she,אבל היא,но она,mais elle
جو,Atmosphere,אַטמוֹספֵרָה,Атмосфера,Atmosphère
أشياء,Things,דברים,Вещи,Choses
كلمة,word,מילה,слово,mot
تفعلين,You do,אתה כן,Вы делаете,Tu fais
